name,category,type,level,age_group,format,instructor,room,price,unlimited_price,day_pass_price,weekly_pass_price,is_tax_inclusive,show_drop_in_options,status,description
Kids BJJ Fundamentals,Kids,Brazilian Jiu-Jitsu,Beginner,5-8,Gi,Coach Marcus Silva,Mat 1,120.00,160.00,25.00,60.00,0,1,active,"Fun and engaging Brazilian Jiu-Jitsu fundamentals class tailored for kids aged 5 to 8. Focuses on motor skills, discipline, and basic self-defense."
Youth Muay Thai Striking,Youth,Muay Thai,All Levels,9-11,Striking,Kru Alex Vance,Ring A,135.00,175.00,30.00,70.00,0,1,active,"Authentic Thai boxing techniques covering footwork, punches, kicks, elbows, and knees for youth practitioners."
Teens No-Gi Submission Grappling,Teens,Grappling,Intermediate,12-16,No-Gi,Coach John Miller,Mat 2,140.00,180.00,30.00,75.00,0,1,active,"High-energy submission grappling class without the traditional uniform. Focuses on takedowns, control, and submission chains."
Adult BJJ All Levels,Adults,Brazilian Jiu-Jitsu,All Levels,Adults,Gi,Professor Rodrigo Souza,Mat 1,160.00,210.00,35.00,85.00,0,1,active,"Comprehensive Brazilian Jiu-Jitsu training for all skill levels from beginner white belts to advanced black belts."
Women-Only Self Defense & Kickboxing,Women Only,Kickboxing,Beginner,Adults,Striking,Coach Sarah Connor,Studio 2,130.00,170.00,25.00,65.00,0,1,active,"Empowering self-defense and cardio kickboxing tailored exclusively for women in a safe and supportive environment."
Pro MMA Sparring & Takedowns,Competition,MMA,Advanced,Adults,Sparring,Coach Dave Batista,Main Arena,180.00,250.00,45.00,110.00,0,1,active,"Intensive MMA sparring, wall work, and wrestling integration for active fighters and advanced competitors."
Open Mat Grappling & Rolling,Open Training,Grappling,All Levels,All Ages,No-Gi,Staff Instructor,Mat 1,0.00,0.00,15.00,40.00,1,1,active,"Supervised open practice session for members to drill techniques, spar, and roll freely."
Beginner Muay Thai & Dutch Kickboxing,Adults,Muay Thai,Beginner,Adults,Striking,Kru Somchai,Ring B,145.00,190.00,30.00,75.00,0,1,active,"Step-by-step introduction to Dutch kickboxing and Thai boxing combinations, heavy bag conditioning, and mitt work."
Advanced BJJ Competition Team,Competition,Brazilian Jiu-Jitsu,Advanced,Adults,Gi,Professor Rodrigo Souza,Mat 1,175.00,230.00,40.00,100.00,0,1,active,"Rigorously structured competition training focused on point strategy, guard passing, guard retention, and submission finishing."
Little Champions Martial Arts,Kids,Fitness,Beginner,5-6,Gi,Coach Emily Blunt,Studio 1,110.00,150.00,20.00,55.00,0,1,active,"Introduction to martial arts movement, agility, balance, and bully prevention for young champions aged 5 to 6."
Cardio Conditioning & Heavy Bag,Fitness / Conditioning,Fitness,All Levels,All Ages,Conditioning,Coach Mike Tyson,Studio 2,115.00,155.00,20.00,50.00,1,1,active,"High-intensity cardiovascular workout using heavy bags, kettlebells, calisthenics, and core conditioning drills."
Private 1-on-1 Martial Arts Coaching,Private,MMA,All Levels,All Ages,Striking,Head Coach Alex,Private Room,250.00,350.00,60.00,150.00,0,0,active,"Personalized one-on-one custom training session focused on individual technical goals and athletic development."
